account_id,customer_id,account_type,account_number_masked,currency,current_balance,available_balance,status,lock_reason,opened_date,last_activity_date,interest_rate_pct,overdraft_limit,daily_transfer_limit,notes
ACC-100015,CUST-B008,CHECKING,****4455,USD,3200.00,3200.00,UNDER_REVIEW,LARGE_CASH_DEPOSITS,2016-09-15,2026-03-14,0.05,0.00,500.00,Under AML review. Three cash deposits of $9,800 within 30 days (Feb 14 Feb 28 Mar 14). Outbound transfers restricted to $500/day pending review.
ACC-100016,CUST-B009,CHECKING,****7766,USD,15678.00,15678.00,ACTIVE,,2014-04-22,2026-03-16,0.05,1000.00,15000.00,Primary checking account
ACC-100017,CUST-B009,SAVINGS,****8899,USD,67000.00,67000.00,ACTIVE,,2014-04-22,2026-02-28,3.00,0.00,5000.00,Long-term savings account
ACC-100018,CUST-B010,CHECKING,****1133,USD,89000.00,89000.00,ACTIVE,,2010-12-01,2026-03-16,0.05,10000.00,100000.00,Business operating account
ACC-100019,CUST-B011,CHECKING,****5544,USD,4500.00,4500.00,ACTIVE,,2022-06-30,2026-03-16,0.05,100.00,2000.00,First account. ACH transfer of $800 pending as of 2026-03-16.
ACC-100020,CUST-B012,CHECKING,****3366,USD,1800.00,1800.00,ACTIVE,,2019-03-18,2026-03-13,0.05,200.00,2000.00,Primary checking account
ACC-100021,CUST-B013,CHECKING,****7788,USD,6200.00,6200.00,ACTIVE,,2018-09-05,2026-03-14,0.05,500.00,10000.00,International wire transfer enabled
ACC-100022,CUST-B013,SAVINGS,****9901,USD,18000.00,18000.00,ACTIVE,,2018-09-05,2026-03-14,2.50,0.00,1000.00,Travel savings account
ACC-100023,CUST-B014,CHECKING,****2244,USD,3900.00,3900.00,ACTIVE,,2020-07-14,2026-03-12,0.05,300.00,3000.00,Account opened after relocation from New York
ACC-100024,CUST-B015,CHECKING,****6655,USD,567.00,0.00,LOCKED,LOAN_DEFAULT,2017-10-20,2026-02-01,0.05,0.00,0.00,Locked on 2026-02-01 due to personal loan LOAN-2024-0003 default (5 months overdue). Collections notified.
ACC-100025,CUST-B016,CHECKING,****4477,USD,4100.00,4100.00,ACTIVE,,2021-01-08,2026-03-14,0.05,400.00,4000.00,Regular checking account
ACC-100026,CUST-B017,CHECKING,****8833,USD,56000.00,56000.00,ACTIVE,,2013-08-25,2026-03-15,0.05,5000.00,75000.00,Business current account. Large vendor payment of $12,000 pending.
ACC-100027,CUST-B018,CHECKING,****1199,USD,22000.00,22000.00,ACTIVE,,2016-03-10,2026-03-16,0.05,2000.00,20000.00,Premium checking account
ACC-100028,CUST-B018,MONEY_MARKET,****3377,USD,95000.00,95000.00,ACTIVE,,2020-09-15,2026-02-28,4.25,0.00,10000.00,Premium money market account
ACC-100029,CUST-B019,CHECKING,****5599,USD,3400.00,3400.00,ACTIVE,,2023-01-15,2026-03-16,0.05,100.00,1000.00,Starter account. Daily ATM limit $500. ATM withdrawal declined on 2026-03-15 — daily limit already reached.
ACC-100030,CUST-B020,CHECKING,****7711,USD,2800.00,2800.00,ACTIVE,,2019-05-22,2026-03-13,0.05,300.00,5000.00,International wire transfer enabled. Regular EUR remittances to France.
ACC-100031,CUST-B072,CREDIT,****5450,USD,1890.29,3959.34,ACTIVE,,2020-05-16,2022-10-09,26.25,0.00,0.00,
ACC-100032,CUST-B091,SAVINGS,****4814,USD,36747.48,36747.48,ACTIVE,,2023-04-23,2024-08-25,3.51,0.00,2889.69,
ACC-100033,CUST-B090,CHECKING,****7666,USD,5207.14,5028.09,ACTIVE,,2018-09-14,2023-12-31,0.05,0.00,2000.00,
ACC-100034,CUST-B182,CREDIT,****6262,USD,1490.98,10967.78,ACTIVE,,2024-11-06,2026-03-08,26.59,0.00,0.00,
ACC-100035,CUST-B142,CHECKING,****7846,USD,32684.48,28920.31,ACTIVE,,2023-08-15,2023-11-14,0.05,0.00,2000.00,
ACC-100036,CUST-B021,MONEY_MARKET,****5742,USD,59850.69,59850.69,ACTIVE,,2015-05-29,2024-10-13,2.73,0.00,4714.74,
ACC-100037,CUST-B046,CHECKING,****9901,USD,5543.57,5529.43,ACTIVE,,2021-05-15,2024-09-30,0.05,500.00,10000.00,
ACC-100038,CUST-B137,SAVINGS,****6417,USD,75879.79,75879.79,ACTIVE,,2016-07-03,2026-01-17,1.73,0.00,4139.66,
ACC-100039,CUST-B188,SAVINGS,****5833,USD,107930.43,107930.43,ACTIVE,,2022-04-09,2023-09-17,0.56,0.00,2017.00,
ACC-100040,CUST-B168,SAVINGS,****8007,USD,91837.70,91837.70,ACTIVE,,2017-03-02,2019-02-18,3.37,0.00,2324.71,
ACC-100041,CUST-B153,SAVINGS,****5064,USD,28124.79,28124.79,ACTIVE,,2019-06-30,2020-07-24,1.13,0.00,1956.21,
ACC-100042,CUST-B105,CHECKING,****5285,USD,37737.08,37476.89,ACTIVE,,2017-08-22,2022-08-25,0.05,500.00,1000.00,
ACC-100043,CUST-B084,CREDIT,****9233,USD,4754.53,12272.34,ACTIVE,,2017-08-25,2018-05-06,17.75,0.00,0.00,
ACC-100044,CUST-B118,CREDIT,****4618,USD,9215.82,7113.25,ACTIVE,,2022-09-28,2023-05-26,20.03,0.00,0.00,
ACC-100045,CUST-B022,SAVINGS,****9998,USD,112286.36,112286.36,FROZEN,KYC_REVIEW,2016-09-19,2021-10-26,3.23,0.00,2371.31,
ACC-100046,CUST-B199,CHECKING,****9653,USD,41315.05,39839.23,ACTIVE,,2023-12-29,2025-11-08,0.05,0.00,10000.00,
ACC-100047,CUST-B049,CREDIT,****9792,USD,815.62,1666.57,ACTIVE,,2021-04-29,2021-12-14,21.55,0.00,0.00,
ACC-100048,CUST-B140,SAVINGS,****9008,USD,66555.16,66555.16,ACTIVE,,2024-07-31,2026-01-14,3.56,0.00,3726.13,
ACC-100049,CUST-B122,CHECKING,****8575,USD,22780.93,21117.63,ACTIVE,,2019-12-30,2020-08-13,0.05,1000.00,1000.00,
ACC-100050,CUST-B148,CREDIT,****2196,USD,5145.01,5357.76,ACTIVE,,2023-02-10,2023-03-26,24.19,0.00,0.00,
ACC-100051,CUST-B036,CHECKING,****1519,USD,27149.94,23322.84,ACTIVE,,2022-11-08,2023-03-18,0.05,0.00,10000.00,
ACC-100052,CUST-B128,CHECKING,****7266,USD,38338.22,38213.62,ACTIVE,,2023-08-16,2024-01-01,0.05,1000.00,5000.00,
ACC-100053,CUST-B073,CHECKING,****2943,USD,4196.45,4173.88,ACTIVE,,2019-03-27,2023-06-12,0.05,200.00,5000.00,
ACC-100054,CUST-B133,SAVINGS,****1372,USD,109314.79,109314.79,LOCKED,CUSTOMER_REQUEST,2020-12-06,2021-08-23,1.50,0.00,515.63,
ACC-100055,CUST-B080,CHECKING,****8546,USD,21321.58,19336.36,ACTIVE,,2023-01-24,2026-02-12,0.05,200.00,2000.00,
ACC-100056,CUST-B117,CHECKING,****4943,USD,38321.40,32758.38,ACTIVE,,2017-02-11,2025-03-30,0.05,1000.00,1000.00,
ACC-100057,CUST-B030,SAVINGS,****5009,USD,67242.94,67242.94,ACTIVE,,2021-08-29,2021-11-05,3.52,0.00,4424.96,
ACC-100058,CUST-B134,CREDIT,****3295,USD,6316.13,7638.11,ACTIVE,,2019-12-03,2022-07-19,24.53,0.00,0.00,
ACC-100059,CUST-B078,SAVINGS,****6253,USD,86628.50,86628.50,LOCKED,FAILED_LOGINS,2024-02-24,2026-03-14,3.10,0.00,3976.42,
ACC-100060,CUST-B028,SAVINGS,****3869,USD,78427.03,78427.03,ACTIVE,,2016-08-09,2024-01-04,2.36,0.00,1738.19,
ACC-100061,CUST-B139,CREDIT,****7244,USD,439.17,1686.05,ACTIVE,,2021-03-26,2024-01-05,23.07,0.00,0.00,
ACC-100062,CUST-B190,MONEY_MARKET,****9813,USD,61534.75,61534.75,ACTIVE,,2022-10-23,2025-02-21,1.85,0.00,1327.46,
ACC-100063,CUST-B177,CHECKING,****7761,USD,42905.55,37398.74,ACTIVE,,2017-07-12,2020-11-24,0.05,1000.00,1000.00,
ACC-100064,CUST-B037,CHECKING,****7079,USD,12294.35,10825.18,ACTIVE,,2016-07-03,2020-11-09,0.05,0.00,10000.00,
ACC-100065,CUST-B043,CHECKING,****4082,USD,2766.52,2508.06,ACTIVE,,2024-04-20,2024-11-01,0.05,0.00,1000.00,
ACC-100066,CUST-B058,MONEY_MARKET,****5967,USD,32943.97,32943.97,ACTIVE,,2023-02-14,2026-04-03,1.44,0.00,4581.65,
ACC-100067,CUST-B125,CHECKING,****4350,USD,6042.35,6041.96,ACTIVE,,2017-02-17,2025-06-12,0.05,1000.00,2000.00,
ACC-100068,CUST-B180,CHECKING,****5285,USD,38820.59,35214.13,ACTIVE,,2021-03-11,2022-12-29,0.05,500.00,5000.00,
ACC-100069,CUST-B100,CHECKING,****4328,USD,5110.69,5096.37,ACTIVE,,2020-07-29,2025-10-19,0.05,1000.00,5000.00,
ACC-100070,CUST-B175,CHECKING,****7841,USD,43231.43,41553.53,ACTIVE,,2015-07-07,2021-10-27,0.05,0.00,5000.00,
ACC-100071,CUST-B129,CHECKING,****5216,USD,19116.02,18638.20,ACTIVE,,2018-09-13,2021-04-12,0.05,1000.00,5000.00,
ACC-100072,CUST-B157,MONEY_MARKET,****3293,USD,69393.94,69393.94,ACTIVE,,2023-02-11,2025-11-11,3.80,0.00,2084.79,
ACC-100073,CUST-B144,CREDIT,****2217,USD,14225.17,10542.59,ACTIVE,,2017-01-23,2023-02-21,21.75,0.00,0.00,
ACC-100074,CUST-B194,MONEY_MARKET,****3474,USD,62152.64,62152.64,ACTIVE,,2023-07-28,2023-08-03,4.29,0.00,1541.45,
ACC-100075,CUST-B169,CHECKING,****1257,USD,3210.42,3035.96,ACTIVE,,2020-02-11,2024-04-18,0.05,1000.00,10000.00,
ACC-100076,CUST-B130,CHECKING,****9228,USD,1032.96,989.92,ACTIVE,,2019-08-12,2019-09-29,0.05,500.00,1000.00,
ACC-100077,CUST-B056,MONEY_MARKET,****4144,USD,16498.96,16498.96,ACTIVE,,2019-10-30,2021-11-02,0.93,0.00,1170.04,
ACC-100078,CUST-B104,SAVINGS,****7652,USD,40465.05,40465.05,ACTIVE,,2024-02-22,2025-02-18,2.29,0.00,2178.73,
ACC-100079,CUST-B103,CHECKING,****2531,USD,15138.74,14748.30,ACTIVE,,2022-10-26,2024-01-31,0.05,0.00,1000.00,
ACC-100080,CUST-B029,CHECKING,****9189,USD,2994.52,2549.59,ACTIVE,,2021-03-13,2023-11-12,0.05,200.00,1000.00,
ACC-100081,CUST-B066,MONEY_MARKET,****9653,USD,85095.57,85095.57,ACTIVE,,2023-10-18,2024-09-21,4.36,0.00,929.13,
ACC-100082,CUST-B106,CHECKING,****9897,USD,23879.91,20464.71,ACTIVE,,2024-09-25,2026-04-28,0.05,0.00,5000.00,
ACC-100083,CUST-B067,SAVINGS,****7525,USD,2840.89,2840.89,ACTIVE,,2017-01-04,2020-07-15,1.43,0.00,1148.86,
ACC-100084,CUST-B154,CHECKING,****3292,USD,28421.46,27779.60,ACTIVE,,2021-04-28,2022-09-02,0.05,500.00,10000.00,
ACC-100085,CUST-B075,MONEY_MARKET,****4803,USD,111945.76,111945.76,LOCKED,SECURITY_HOLD,2015-11-18,2021-06-30,2.06,0.00,939.59,
ACC-100086,CUST-B160,MONEY_MARKET,****6347,USD,92272.85,92272.85,ACTIVE,,2021-10-14,2026-02-04,3.18,0.00,4860.14,
ACC-100087,CUST-B108,CHECKING,****4043,USD,24632.05,22251.90,ACTIVE,,2023-10-15,2025-01-18,0.05,1000.00,10000.00,
ACC-100088,CUST-B193,CREDIT,****2204,USD,3461.61,16070.41,ACTIVE,,2019-04-06,2020-03-22,18.70,0.00,0.00,
ACC-100089,CUST-B159,CHECKING,****1085,USD,37034.83,33238.82,ACTIVE,,2019-04-06,2020-12-27,0.05,0.00,1000.00,
ACC-100090,CUST-B120,CHECKING,****9395,USD,5291.12,4566.74,ACTIVE,,2023-07-16,2024-04-17,0.05,1000.00,10000.00,
ACC-100091,CUST-B187,CHECKING,****1202,USD,27800.15,26119.32,ACTIVE,,2016-01-03,2019-12-22,0.05,500.00,10000.00,
ACC-100092,CUST-B065,CHECKING,****7237,USD,36297.22,33899.08,ACTIVE,,2023-09-27,2023-12-22,0.05,200.00,2000.00,
ACC-100093,CUST-B047,SAVINGS,****7899,USD,74222.03,74222.03,ACTIVE,,2018-05-18,2021-05-21,0.78,0.00,2456.04,
ACC-100094,CUST-B196,CHECKING,****8501,USD,12734.65,11295.49,ACTIVE,,2015-11-12,2019-11-30,0.05,1000.00,2000.00,
ACC-100095,CUST-B110,CHECKING,****6484,USD,16744.42,15790.47,ACTIVE,,2015-01-28,2023-12-13,0.05,500.00,10000.00,
ACC-100096,CUST-B181,CHECKING,****6147,USD,6979.00,6267.84,ACTIVE,,2024-08-21,2026-04-21,0.05,200.00,10000.00,
ACC-100097,CUST-B077,SAVINGS,****6339,USD,95118.92,95118.92,FROZEN,KYC_REVIEW,2018-04-08,2026-01-22,4.85,0.00,4018.88,
ACC-100098,CUST-B127,CHECKING,****1440,USD,18377.77,18190.50,ACTIVE,,2023-10-24,2024-11-29,0.05,200.00,2000.00,
ACC-100099,CUST-B184,CREDIT,****7703,USD,2014.19,9508.73,ACTIVE,,2022-12-11,2024-02-13,23.61,0.00,0.00,
ACC-100100,CUST-B165,CREDIT,****7176,USD,2690.71,4117.80,ACTIVE,,2022-02-07,2023-10-20,23.86,0.00,0.00,
ACC-100101,CUST-B146,CHECKING,****6890,USD,29195.75,27156.58,ACTIVE,,2021-09-15,2024-05-23,0.05,1000.00,1000.00,
ACC-100102,CUST-B052,CREDIT,****6816,USD,831.96,15484.37,ACTIVE,,2021-01-08,2024-05-08,24.45,0.00,0.00,
ACC-100103,CUST-B172,SAVINGS,****6432,USD,147549.43,147549.43,ACTIVE,,2015-07-01,2021-10-23,3.55,0.00,2298.28,
ACC-100104,CUST-B069,MONEY_MARKET,****4621,USD,39181.39,39181.39,ACTIVE,,2015-02-13,2016-03-22,2.80,0.00,2834.59,
ACC-100105,CUST-B179,CHECKING,****5840,USD,7707.10,7704.44,ACTIVE,,2020-03-11,2025-10-20,0.05,1000.00,1000.00,
ACC-100106,CUST-B042,CHECKING,****6620,USD,41599.62,39915.78,ACTIVE,,2015-12-18,2017-04-06,0.05,500.00,5000.00,
ACC-100107,CUST-B195,CHECKING,****2100,USD,17545.35,15170.47,ACTIVE,,2020-11-04,2023-07-21,0.05,1000.00,5000.00,
ACC-100108,CUST-B102,CHECKING,****4996,USD,1324.74,1194.20,ACTIVE,,2022-12-21,2023-08-13,0.05,0.00,2000.00,
ACC-100109,CUST-B027,SAVINGS,****7636,USD,84197.42,84197.42,ACTIVE,,2016-10-17,2020-07-03,4.81,0.00,1543.35,
ACC-100110,CUST-B050,CREDIT,****4232,USD,199.17,11172.06,ACTIVE,,2022-03-08,2025-11-13,22.75,0.00,0.00,
ACC-100111,CUST-B167,CHECKING,****9796,USD,35295.83,31090.96,ACTIVE,,2019-05-12,2019-05-30,0.05,0.00,1000.00,
ACC-100112,CUST-B109,SAVINGS,****6134,USD,17536.27,17536.27,ACTIVE,,2017-03-18,2022-05-05,3.52,0.00,2702.68,
ACC-100113,CUST-B054,SAVINGS,****3826,USD,17577.69,17577.69,ACTIVE,,2019-05-27,2025-12-25,2.08,0.00,2560.37,
ACC-100114,CUST-B156,MONEY_MARKET,****6131,USD,137843.05,137843.05,ACTIVE,,2023-12-24,2024-10-23,3.16,0.00,3524.50,
ACC-100115,CUST-B097,CHECKING,****3258,USD,18790.64,16370.48,ACTIVE,,2016-04-24,2018-05-13,0.05,1000.00,10000.00,
ACC-100116,CUST-B024,SAVINGS,****3838,USD,95507.50,95507.50,ACTIVE,,2017-01-30,2022-07-16,3.62,0.00,3403.67,
ACC-100117,CUST-B101,SAVINGS,****6882,USD,28471.24,28471.24,ACTIVE,,2018-03-29,2019-10-24,4.29,0.00,3287.34,
ACC-100118,CUST-B060,CHECKING,****9056,USD,48198.69,44623.10,ACTIVE,,2017-03-10,2021-06-29,0.05,1000.00,10000.00,
ACC-100119,CUST-B095,CHECKING,****1535,USD,8529.22,7973.20,ACTIVE,,2019-12-24,2025-06-16,0.05,200.00,5000.00,
ACC-100120,CUST-B074,CHECKING,****2871,USD,39080.86,36534.65,ACTIVE,,2018-03-28,2020-02-14,0.05,1000.00,1000.00,
ACC-100121,CUST-B035,CHECKING,****7965,USD,27193.76,26201.68,ACTIVE,,2024-03-26,2025-04-05,0.05,1000.00,2000.00,
ACC-100122,CUST-B155,CHECKING,****6711,USD,15025.90,15024.35,ACTIVE,,2022-05-01,2023-09-19,0.05,1000.00,5000.00,
ACC-100123,CUST-B143,MONEY_MARKET,****6744,USD,116456.93,116456.93,ACTIVE,,2019-12-04,2021-03-28,1.57,0.00,4148.16,
ACC-100124,CUST-B068,MONEY_MARKET,****4390,USD,25314.25,25314.25,ACTIVE,,2022-02-04,2024-06-29,1.13,0.00,1429.79,
ACC-100125,CUST-B183,MONEY_MARKET,****5794,USD,42522.21,42522.21,ACTIVE,,2018-12-07,2024-11-25,2.92,0.00,1956.44,
ACC-100126,CUST-B186,CHECKING,****7743,USD,49277.32,46906.83,ACTIVE,,2024-08-15,2026-01-23,0.05,0.00,2000.00,
ACC-100127,CUST-B126,CHECKING,****7434,USD,43330.72,38453.92,LOCKED,SECURITY_HOLD,2016-06-03,2024-04-15,0.05,500.00,2000.00,
ACC-100128,CUST-B189,CHECKING,****7600,USD,31465.08,28516.04,ACTIVE,,2022-02-03,2023-08-07,0.05,0.00,1000.00,
ACC-100129,CUST-B192,SAVINGS,****2526,USD,68477.00,68477.00,ACTIVE,,2022-10-16,2024-11-09,2.70,0.00,3118.80,
ACC-100130,CUST-B083,CREDIT,****8039,USD,10217.72,11184.83,FROZEN,FRAUD_ALERT,2022-06-13,2024-06-15,20.36,0.00,0.00,
ACC-100131,CUST-B089,MONEY_MARKET,****8951,USD,124337.37,124337.37,ACTIVE,,2018-01-04,2021-08-18,2.02,0.00,3100.70,
ACC-100132,CUST-B163,MONEY_MARKET,****1266,USD,7368.47,7368.47,ACTIVE,,2022-08-27,2022-12-04,3.32,0.00,4265.16,
ACC-100133,CUST-B085,CHECKING,****3161,USD,22934.60,22906.52,ACTIVE,,2016-10-09,2021-09-20,0.05,1000.00,2000.00,
ACC-100134,CUST-B064,CREDIT,****3711,USD,700.72,2539.44,ACTIVE,,2024-10-21,2025-07-28,16.90,0.00,0.00,
ACC-100135,CUST-B096,CHECKING,****1017,USD,37810.56,34573.40,ACTIVE,,2018-06-05,2026-04-08,0.05,0.00,1000.00,
ACC-100136,CUST-B059,SAVINGS,****6629,USD,34315.53,34315.53,ACTIVE,,2016-06-27,2023-02-22,3.56,0.00,541.79,
ACC-100137,CUST-B115,MONEY_MARKET,****2463,USD,104257.63,104257.63,ACTIVE,,2024-08-24,2025-10-30,2.65,0.00,1530.26,
ACC-100138,CUST-B132,CREDIT,****3181,USD,1763.48,8058.00,ACTIVE,,2016-02-27,2019-09-02,20.20,0.00,0.00,
ACC-100139,CUST-B152,CREDIT,****6753,USD,5316.73,9202.26,LOCKED,FAILED_LOGINS,2015-10-08,2021-09-18,17.80,0.00,0.00,
ACC-100140,CUST-B041,CREDIT,****4559,USD,8530.48,14546.98,ACTIVE,,2023-05-23,2024-03-28,20.86,0.00,0.00,
ACC-100141,CUST-B061,CHECKING,****6152,USD,6333.23,6076.74,ACTIVE,,2016-07-27,2025-01-03,0.05,500.00,10000.00,
ACC-100142,CUST-B099,MONEY_MARKET,****5668,USD,13095.18,13095.18,ACTIVE,,2018-02-08,2025-05-02,2.99,0.00,3200.04,
ACC-100143,CUST-B062,MONEY_MARKET,****9348,USD,127136.97,127136.97,ACTIVE,,2015-04-20,2024-10-21,4.44,0.00,1424.51,
ACC-100144,CUST-B145,SAVINGS,****9108,USD,8658.09,8658.09,ACTIVE,,2018-04-25,2025-07-23,4.54,0.00,4796.02,
ACC-100145,CUST-B086,CHECKING,****3162,USD,26508.67,26419.99,ACTIVE,,2020-08-08,2021-05-25,0.05,500.00,5000.00,
ACC-100146,CUST-B135,CHECKING,****1273,USD,18397.54,17522.58,ACTIVE,,2021-05-17,2023-09-25,0.05,1000.00,1000.00,
ACC-100147,CUST-B098,SAVINGS,****9300,USD,6454.12,6454.12,ACTIVE,,2017-12-09,2020-05-10,0.77,0.00,4051.80,
ACC-100148,CUST-B040,CHECKING,****2369,USD,21294.05,19384.86,ACTIVE,,2020-08-14,2025-04-11,0.05,200.00,5000.00,
ACC-100149,CUST-B079,CHECKING,****8167,USD,26912.23,24452.71,ACTIVE,,2017-04-12,2019-01-08,0.05,0.00,5000.00,
ACC-100150,CUST-B087,CREDIT,****1901,USD,3809.93,3057.58,ACTIVE,,2017-09-04,2018-04-29,17.27,0.00,0.00,
ACC-100151,CUST-B081,CHECKING,****9133,USD,6148.26,5878.87,ACTIVE,,2022-05-19,2023-05-13,0.05,0.00,2000.00,
ACC-100152,CUST-B171,CHECKING,****2934,USD,36094.12,31583.96,ACTIVE,,2023-10-13,2026-02-01,0.05,200.00,5000.00,
ACC-100153,CUST-B063,MONEY_MARKET,****2262,USD,41161.10,41161.10,ACTIVE,,2018-10-04,2023-07-28,0.79,0.00,3705.45,
ACC-100154,CUST-B112,CHECKING,****5179,USD,25080.58,23451.17,ACTIVE,,2019-01-15,2019-08-30,0.05,500.00,2000.00,
ACC-100155,CUST-B038,MONEY_MARKET,****1721,USD,108555.37,108555.37,ACTIVE,,2021-06-08,2025-03-19,1.53,0.00,2789.71,
ACC-100156,CUST-B025,MONEY_MARKET,****1579,USD,71028.81,71028.81,ACTIVE,,2017-09-28,2018-04-04,2.22,0.00,1175.38,
ACC-100157,CUST-B200,SAVINGS,****6241,USD,34065.04,34065.04,ACTIVE,,2023-01-03,2025-05-10,1.62,0.00,4621.35,
ACC-100158,CUST-B031,CHECKING,****4656,USD,6146.17,5845.00,ACTIVE,,2021-05-30,2023-07-02,0.05,0.00,2000.00,
ACC-100159,CUST-B149,MONEY_MARKET,****6090,USD,60438.26,60438.26,ACTIVE,,2015-07-08,2026-03-19,4.45,0.00,4397.15,
ACC-100160,CUST-B174,CHECKING,****8600,USD,18572.18,16598.69,ACTIVE,,2020-02-14,2020-03-17,0.05,500.00,2000.00,
ACC-100161,CUST-B151,CHECKING,****1104,USD,36676.67,34182.07,ACTIVE,,2020-07-13,2022-09-21,0.05,200.00,2000.00,
ACC-100162,CUST-B071,CHECKING,****1023,USD,31869.90,30404.49,ACTIVE,,2021-01-27,2023-01-06,0.05,0.00,5000.00,
ACC-100163,CUST-B057,MONEY_MARKET,****9061,USD,16040.38,16040.38,ACTIVE,,2024-07-09,2025-05-19,2.88,0.00,1571.75,
ACC-100164,CUST-B176,CHECKING,****8511,USD,4832.73,4775.66,FROZEN,SUSPICIOUS_ACTIVITY,2022-12-24,2024-07-19,0.05,1000.00,5000.00,
ACC-100165,CUST-B107,CREDIT,****2020,USD,2068.44,2135.89,ACTIVE,,2016-01-27,2021-09-27,16.81,0.00,0.00,
ACC-100166,CUST-B116,CHECKING,****6211,USD,14725.47,14396.17,ACTIVE,,2016-06-19,2019-02-13,0.05,1000.00,5000.00,
ACC-100167,CUST-B198,CHECKING,****2731,USD,6978.37,6737.77,ACTIVE,,2015-11-02,2018-02-09,0.05,0.00,2000.00,
ACC-100168,CUST-B045,SAVINGS,****8404,USD,18550.14,18550.14,ACTIVE,,2018-07-10,2023-01-30,2.11,0.00,3966.52,
ACC-100169,CUST-B053,CHECKING,****4522,USD,4702.96,4567.23,ACTIVE,,2024-07-23,2024-11-22,0.05,500.00,1000.00,
ACC-100170,CUST-B051,MONEY_MARKET,****1802,USD,106818.03,106818.03,ACTIVE,,2016-08-30,2017-09-07,4.86,0.00,2283.10,
ACC-100171,CUST-B092,CREDIT,****5093,USD,423.63,1322.34,ACTIVE,,2024-03-13,2024-09-07,20.96,0.00,0.00,
ACC-100172,CUST-B161,CHECKING,****4246,USD,7161.69,6100.28,ACTIVE,,2024-01-06,2026-03-28,0.05,200.00,2000.00,
ACC-100173,CUST-B136,MONEY_MARKET,****2228,USD,140667.45,140667.45,ACTIVE,,2022-09-12,2026-03-25,0.88,0.00,3137.53,
ACC-100174,CUST-B197,CHECKING,****1699,USD,40503.07,34986.42,LOCKED,FAILED_LOGINS,2022-03-30,2024-09-23,0.05,500.00,1000.00,
ACC-100175,CUST-B119,CHECKING,****7990,USD,41119.93,37388.29,ACTIVE,,2021-06-08,2023-11-12,0.05,0.00,10000.00,
ACC-100176,CUST-B039,SAVINGS,****5026,USD,42338.26,42338.26,ACTIVE,,2017-02-05,2020-03-07,4.48,0.00,655.92,
ACC-100177,CUST-B185,CREDIT,****7868,USD,657.74,11839.00,ACTIVE,,2019-08-15,2025-10-17,20.20,0.00,0.00,
ACC-100178,CUST-B162,SAVINGS,****1319,USD,37747.59,37747.59,ACTIVE,,2023-12-10,2025-05-31,4.97,0.00,2946.46,
